doc_id,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,sentiment
5626627,0.00015513521550418653,0.0003145395580871372,0.00027037169762942124,0.00029571646158092817,0.0006467200064783752,0.00035096715731304306,0.00011510858340882354,0.0010950079408245986,0.0007005026773061092
5626629,2.0152383924284507e-05,0.0013165660556284009,8.114754207688527e-05,0.0001741646777189478,0.0003527324249145017,0.00023751808674686735,4.441223621311248e-05,0.0006836111331473062,0.0014369934547830744
5627760,0.00040133291933014,0.0003083843880199062,0.0004255516250504162,0.0005719127477303669,0.0003467255050709137,0.0006219700407200626,0.000173034434642085,0.0010392729883443737,0.00020797991507557178
5627766,1.1571469645064434e-05,0.00047868241711146285,3.2083513501544946e-05,0.0002702793639212753,0.00038058507263297414,0.0002992170557750756,0.0003144640677277998,0.0006772480274217431,0.0009015955356364069
5627768,0.00021125213688572968,0.0003070182205037387,8.776242358394454e-05,0.000692591074675316,0.0001339767297094387,0.00040762052322740024,0.00022169787466962007,0.0006414173590264563,-5.28764227029563e-05
5627772,0.00012446907974891674,0.0009998803090527045,0.0,9.235722939099877e-05,0.00037629855453732525,0.00036627308592560444,0.0003983030644113668,0.001111999586477506,0.0008552444505546636
5627895,0.0005723146874244162,0.0005290132050766538,5.0286575739819277e-05,0.0002475509959975433,0.0006371189239469974,0.00030212799580285284,0.00017016886920433693,0.0008965270337325526,0.0008693876752949322
5627906,6.872513622546003e-05,0.0007405810496557059,0.0002426573367762219,0.0005634376003207308,0.000514468901749262,0.0025335463827303234,0.00017625271965255655,0.0010463874312784144,-0.001923095874345284
5627918,0.0004961456418897557,0.0003534515169639043,0.00023196184338454347,0.0005860336301708657,0.0003229434743097039,0.0005501396996312178,0.0001693320868730446,0.0006623255751433871,-0.00010603653982971313
5627939,0.0002857982988055841,0.0006094541364246868,0.0,0.00016724727189456769,0.0007286556572849051,0.00011960558102218156,0.00041617134136437986,0.00316871452144215,0.0033480550825141196
5627941,0.0001417445565580756,0.00041974136366972737,0.00029363055342113554,0.0005185346386230577,0.00027139679098804007,0.0005018215034606254,0.00023599333614571032,0.0014867307699932728,0.0005814059418306317
5627942,0.00038111868038820623,0.0005820154949134897,0.0003001725656452179,0.0005835957238182388,0.0005034313275711095,0.0004650474368670281,0.0003502446679795851,0.0005743379648841721,1.2262307592696424e-05
5627943,5.345296449348403e-05,0.0005489232679162439,0.00018496583482499734,0.0001190659734263658,0.00040993072364770884,0.00022955839443556287,0.0001566378341561635,0.0006444835201429251,0.0005413692256671257
5627945,0.0014817435557492554,0.0013377575248134368,0.0015199112643269788,0.0013912005331482569,0.0006422182837031682,0.0013368340782781514,0.0005706349128122839,0.0009888108789902225,-0.0015070415357647323
5628011,0.0002125749390008068,0.00048491478646538574,0.00016356144000161164,0.0001973108442449202,0.00021876368363569617,0.0001551137524989801,0.0001907509324126243,0.000945848887349087,0.0008299735989326217
5628328,0.000189110695113041,0.0007534997287344378,0.0005740692448579613,0.0006557960362384601,0.00022408189841636027,0.0006312729331031551,0.0002483012627305774,0.000505099914933564,-0.0003702518654367521
5629325,1.9097381183034346e-05,0.00020992997387008598,0.0009497948408898026,0.00011714981614525647,0.00018117095476637789,1.9643082531316086e-05,3.8174127682088684e-07,0.0015689599513840885,0.0005645998006401277
5629845,0.00015692716619683552,0.00010728372577249562,8.332573553576044e-05,0.00017746916430578207,8.461903996662987e-05,0.00046511885162625177,5.606151213365468e-05,0.00039687742380814235,-0.00022706060284386376
5629848,0.0002846831005532651,0.00045621777005448017,0.00019509227803521706,0.0004947895816766698,0.000498797261621908,0.00031175163179743173,0.0007567423638790055,0.001028791426687391,1.223320322429149e-05
5629857,0.00039627157985916217,0.0005939945690821012,9.615260729616935e-05,0.0003700410401944918,0.0003073845841371725,0.0003661570457473827,0.00012511427697390115,0.0016627445189871244,0.0012432244273165166
5629858,0.0010899478792934356,0.0011934188779038804,0.0007025016651412303,0.0015605944034925066,0.0005734422145732316,0.0023413995881596907,3.232830573151007e-05,0.0012222779870555633,-0.0019915396526297515
5629860,0.000462983400588485,0.00034201319224373315,0.0003349032561302119,0.0003323401652327355,0.00024374964687666833,0.0004165973038642887,0.00011878550972975901,0.0006338398227895219,0.00012020882565354193
5629862,0.00032678417894845343,0.00018772828951878456,0.00030130682891789124,0.0009569571914887845,0.00030416229190769964,0.0005308597730859782,0.0005451287653956444,0.001489701112967304,0.0002445410405393191
5629870,0.00023078448173904752,0.0002984283771717184,0.0002978668381145928,0.0004695141495008306,0.00022677317448898816,0.0005604732971111398,0.0002638631130048159,0.0002866539041125931,-0.0002197435364568116
5629872,0.00014068633778085358,0.000467691102615993,0.00023505961966603406,0.000939614586784833,0.0004742577889306789,0.0004490362550457215,0.0006140017896953461,0.0006817535567860748,-0.00017988517083490163
5629878,0.00021971424262502362,0.0007301329877991624,1.5048230062541685e-05,0.00024241865486898743,0.00025377016739238983,0.00024304560735287297,7.432330800025804e-05,0.0010467275881473794,0.0005997296261415925
5629891,0.0003593250831644341,0.00036346462740588866,0.0001149161736721531,0.0004321068853896009,0.0004212338654143812,0.0005435046655338087,0.00028113422888140205,0.0005955342963012196,-0.0001905019333370429
5629986,0.00041838856615696935,0.0006393338504068136,1.7458805434359888e-05,0.00058689416043086,0.0006520997782032175,0.0004298801857400713,0.00040466396105522307,0.0007644967821556572,0.0002405325387805339
5630018,8.30396651036269e-05,0.00017451818350610473,0.00010113884405307374,0.0005829169200746416,0.00012185543918492129,0.00030824880140810845,4.413388857089571e-05,0.0009527504465163437,0.000521724506070755
5630019,0.00017865847165646478,0.0002729773972234693,0.00027747365018125105,0.0002760218446963689,0.00043791627958961665,0.0003694744885191592,0.000221244946451832,0.0013881245902108122,0.0010618662927659901
5630020,6.604816124207769e-05,0.00025502225537197973,4.691685974090274e-05,0.000311253887124946,0.00016906562851128784,0.0006638106499674474,0.0001384855816837763,0.0006799644997654486,-3.4496089985311496e-05
5630021,0.0004348708575399462,0.005499704773991147,0.00017256136382523698,0.0006534948749899132,0.0019598852278576192,0.0007198267712182397,0.0018779728483936434,0.0006172704678312227,-0.0022873890997798744
5630022,0.00010143944674976632,0.00010913689173158304,3.367926067568477e-05,0.00022014507917558854,8.442784942713784e-05,0.00028624004717640015,7.364930067859243e-05,0.0003506785698464934,5.69267123697474e-06
5630023,0.00063705522382062,0.0008228560142070751,7.60049714520009e-05,0.00016162607278290622,0.000657254062774752,0.0006886981378675877,0.0006752717437468468,0.0008317907365822143,0.00023054033733430765
5630024,0.00019378105389361114,0.0006735320651570458,0.0006557028908619447,0.0007943251775031105,0.0006119212766259719,0.0008901147893479949,0.000557073611279265,0.0006363986743177492,-0.0001088703076485152
5630047,0.00031008646603949714,0.00031497931454203896,0.00031411347415846063,0.0007414243248238042,0.00018179393186858485,0.0007028945749533842,5.3691398148689065e-05,0.0016542993249837972,0.0005539538065003176
5630051,8.080216512957542e-05,0.00030484840763627584,0.0001634608758806651,0.00012846593172292873,0.0002139507635477762,0.00032548405998318136,0.0001585936945490882,0.00046692240854494883,0.0004332673136427406
5630052,0.0011359166581810477,0.0001023802616157394,0.0,0.0008830183974324336,0.00012456377931088832,0.0008119951776273753,0.0006667303463354448,0.003693466094904607,0.001653752947914162
5630057,0.0003859766983385016,0.0004642511346243089,0.0008038533035160603,0.0004505110689102745,0.0008409288836085572,0.00031705626149970624,0.00048598864811258744,0.0009208083234683858,-0.0004414409795328375
